Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,Speed,Draught,"Origin Port","Max Speed","Average Speed","Load Condition","Distance Travelled","Distance To Go","Calculated Eta","Previous To Origin Port","Idle Time While Underway","Voyage State","Capacity - Dwt",Mmsi,"Global Area","Local Area",Status,Eni,Course,"Navigational Status",Built,Length,Width,"Current Port Unlocode","Current Port Country",Callsign,"Wind Temp","Wind Angle","Wind Speed","Vessel Timezone","Previous To Origin Port Unlocode","Previous To Origin Port Country","Previous To Origin Port Atd","Origin Port Atd","Origin Port Country","Origin Port Unlocode","Destination Port Unlocode","Destination Port Country","Rate Of Turn",Heading,"Last Underway Timestamp"
Panama,"EVER GIVEN",ROTTERDAM,"2025-05-20 13:30:00",NLRDM,"ROTTERDAM MAASVLAKTE",9811000,Cargo,"2025-05-21 03:54:29",51.946991,4.0459499,0.1,16.2,SINGAPORE,23.200001,8.1000004,Laden,10625,2,"2025-05-21 04:10:00",YANTIAN,3.9,"Bunkering within Port",199692,353136000,"UKC - UK Coast & Atlantic","Rotterdam Area",ACTIVE,0,325,Moored,2018,399.9,59.0,NLMSV,NL,H3RC,12,316,11,2.0,CNYTN,CN,"2025-04-18 23:42:00","2025-04-23 22:06:00",SG,SGSIN,NLRTM,NL,0,77,"2025-05-20 15:09:00"
"Hong Kong","COSCO SHIPPING LEO",ROTTERDAM,"2025-06-03 01:00:00","NL RTM",,9783502,Cargo,"2025-05-21 03:53:03",-22.782063,8.1412067,17.2,15.2,SINGAPORE,21.5,17.5,Laden,6485,5317,"2025-06-02 21:27:00",NINGBO,0.0,"Sailing in high winds",197061,477157800,"WAFR - West Africa","West Africa",ACTIVE,0,324,"Underway using Engine",2018,400.0,58.8,,,VRRO4,18,134,28,1.0,CNNBG,CN,"2025-04-29 10:43:00","2025-05-05 09:07:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 03:53:00"
"Hong Kong","COSCO SHIPPING ARIES",ROTTERDAM,"2025-05-25 12:00:00","NL RTM",,9783497,Cargo,"2025-05-21 03:53:37",25.769424,-16.070444,17.8,15.6,SINGAPORE,20.799999,17.299999,Laden,9885,1906,"2025-05-25 17:28:00",NINGBO,0.0,"Normal Speed Transiting",197021,477148800,"WAFR - West Africa","West Africa",ACTIVE,0,21,"Underway using Engine",2018,400.0,58.8,,,VRRB4,19,49,21,-1.0,CNNBG,CN,"2025-04-22 14:42:00","2025-04-29 00:51:00",SG,SGSIN,NLRTM,NL,,24,"2025-05-21 03:54:00"
Panama,"ONE TREASURE",ROTTERDAM,"2025-06-20 19:00:00",SGSIN=>NLRTM,,9773222,Cargo,"2025-05-20 12:58:31",-1.92444,84.721085,14.1,15.4,SINGAPORE,17.200001,13.6,Laden,1396,0,,"CAI MEP",0.0,"Normal Speed Transiting",189766,357210000,"SIND - South Indian Ocean","South Indian Ocean",ACTIVE,0,233,"Underway using Engine",2018,400.0,58.7,,,3EUO7,28,321,7,5.0,VNCMT,VN,"2025-05-12 07:17:00","2025-05-16 10:14:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 02:13:00"
"Hong Kong","COSCO SHIPPING GEMINI",ROTTERDAM,"2025-05-29 10:00:00",NLRTM,,9783526,Cargo,"2025-05-21 02:24:12",3.56969,-12.082825,18.0,15.5,SINGAPORE,20.0,17.4,Laden,8467,3346,"2025-05-29 02:48:00",NINGBO,0.0,"Normal Speed Transiting",202014,477154700,"WAFR - West Africa","West Africa",ACTIVE,0,327,"Underway using Engine",2018,399.8,58.7,,,VRRO3,27,159,14,-1.0,CNNBG,CN,"2025-04-25 09:39:00","2025-05-01 00:06:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 02:34:00"
"Hong Kong","COSCO SHIPPING SCORPIO",ROTTERDAM,"2025-06-10 17:00:00","NL RTM",,9789635,Cargo,"2025-05-21 02:50:37",-14.856312,67.780579,18.2,15.9,SINGAPORE,19.799999,18.1,Laden,2657,9160,"2025-06-11 07:49:00",NINGBO,0.0,"Normal Speed Transiting",196913,477183800,"EAFR - East Africa","East Africa",ACTIVE,0,235,"Underway using Engine",2018,400.0,58.8,,,VRRX5,26,128,17,5.0,CNNBG,CN,"2025-05-09 01:18:00","2025-05-14 17:28:00",SG,SGSIN,NLRTM,NL,0,232,"2025-05-21 03:51:00"
Japan,"ONE TRADITION",ROTTERDAM,"2025-06-06 01:00:00",NLRTM,,9769300,Cargo,"2025-05-21 03:53:41",-33.493305,17.361176,14.3,15.5,SINGAPORE,19.700001,13.9,Laden,5670,6122,"2025-06-08 15:33:00","CAI MEP",0.0,"Normal Speed Transiting",196126,431808000,"SAFR - South Africa","South Africa",ACTIVE,0,317,"Underway using Engine",2017,400.0,58.8,,,7KML,15,223,14,1.0,VNCMT,VN,"2025-05-02 09:43:00","2025-05-06 14:47:00",SG,SGSIN,NLRTM,NL,0,313,"2025-05-21 03:54:00"
Panama,"ONE HANNOVER",ROTTERDAM,"2025-06-19 10:00:00",NLRTM,,9302138,Cargo,"2025-05-21 03:55:25",2.4928617,101.62716,17.3,12.3,SINGAPORE,18.700001,17.4,Laden,149,8305,"2025-06-10 21:37:00",TOKYO,0.0,"Normal Speed Transiting",98849,372104000,"INDO - Indonesia","Malacca Strait",ACTIVE,,314,"Underway using Engine",2006,336.0,45.8,,,3EIC8,27,327,7,7.0,JPTYO,JP,"2025-05-09 20:51:00","2025-05-20 19:24:00",SG,SGSIN,NLRTM,NL,0,314,"2025-05-21 03:55:00"
Panama,"NYK ORION",ROTTERDAM,"2025-05-23 03:30:00",NLRTM,,9312999,Cargo,"2025-05-21 03:55:39",47.176872,-6.7401152,11.8,12.2,SINGAPORE,21.6,11.6,Laden,11275,544,"2025-05-23 02:55:00",TOKYO,0.8,"Normal Speed Transiting",104525,352822000,"UKC - UK Coast & Atlantic","Biscay Bay",ACTIVE,,25,"Underway using Engine",2008,336.0,45.8,,,3EPU6,14,291,5,0.0,JPTYO,JP,"2025-04-07 19:38:00","2025-04-19 07:45:00",SG,SGSIN,NLRTM,NL,-2,23,"2025-05-21 03:56:00"
"Hong Kong","COSCO SHIPPING SAGITTARIUS",ROTTERDAM,"2025-06-17 10:00:00",ROTTERDAM,,9783473,Cargo,"2025-05-21 00:04:11",5.3427649,94.005821,17.5,15.0,SINGAPORE,19.200001,18.299999,Laden,685,7675,"2025-06-07 23:50:00",NINGBO,0.0,"Normal Speed Transiting",202133,477194100,"INDO - Indonesia",Indonesia,ACTIVE,0,229,"Underway using Engine",2018,399.8,58.7,,,VRRY9,28,235,4,7.0,CNNBG,CN,"2025-05-13 10:29:00","2025-05-19 09:48:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 00:04:00"
Liberia,"ONE INNOVATION",ROTTERDAM,"2025-05-28 22:00:00",NLRTM,,9939137,Cargo,"2025-05-21 03:52:08",26.040779,-15.872523,10.0,14.9,SINGAPORE,17.6,10.3,Laden,9901,1895,"2025-05-28 19:38:00","CAI MEP",0.0,"Normal Speed Transiting",225405,636022889,"WAFR - West Africa","West Africa",ACTIVE,0,24,"Underway using Engine",2023,400.0,61.4,,,5LKX7,19,47,21,0.0,VNCMT,VN,"2025-04-17 09:29:00","2025-04-21 22:54:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 03:52:00"
Singapore,"ONE OLYMPUS",ROTTERDAM,"2025-06-12 10:00:00","NL RTM",,9312987,Cargo,"2025-05-21 03:48:12",-9.0394526,72.488953,17.1,14.0,SINGAPORE,19.700001,17.9,Laden,2223,9628,"2025-06-12 13:20:00",TOKYO,0.0,"Normal Speed Transiting",104525,563048400,"SIND - South Indian Ocean","South Indian Ocean",ACTIVE,,238,"Underway using Engine",2008,336.0,45.8,,,9VPQ7,27,141,14,6.0,JPTYO,JP,"2025-05-06 19:40:00","2025-05-15 19:29:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 03:48:00"
Singapore,"ONE HUMEN",ROTTERDAM,"2025-05-31 09:30:00","NL RTM",,9302164,Cargo,"2025-05-20 08:37:37",-12.409595,-1.389643,17.1,13.1,SINGAPORE,18.1,17.0,Laden,7287,4515,"2025-05-31 11:51:00",TOKYO,0.0,"Normal Speed Transiting",98849,563250500,"WAFR - West Africa","West Africa",ACTIVE,,326,"Underway using Engine",2007,336.0,45.8,,,9VAJ5,25,123,21,0.0,JPTYO,JP,"2025-04-21 20:52:00","2025-05-01 22:43:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 02:14:00"
Panama,"EVER ALP",ROTTERDAM,"2025-06-13 16:00:00","SG SIN>NL RTM",,9893929,Cargo,"2025-05-20 23:15:00",-0.68828201,85.709473,18.3,16.3,SINGAPORE,20.700001,18.5,Laden,1307,7429,"2025-06-07 05:13:00",YANTIAN,0.0,"Normal Speed Transiting",241960,352898717,"SIND - South Indian Ocean","South Indian Ocean",ACTIVE,0,235,"Underway using Engine",2021,400.0,62.0,,,3E2012,28,321,8,6.0,CNYTN,CN,"2025-05-13 00:12:00","2025-05-17 19:29:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 00:20:00"
Taiwan,"EVER ARM",ROTTERDAM,"2025-06-10 20:00:00","SGSIN > NLRTM",,9893931,Cargo,"2025-05-21 03:14:56",-14.768037,65.11805,19.0,16.7,SINGAPORE,20.299999,19.299999,Laden,2790,9070,"2025-06-09 17:16:00",YANTIAN,0.0,"Normal Speed Transiting",241960,416070000,"EAFR - East Africa","East Africa",ACTIVE,0,238,"Underway using Engine",2022,400.0,62.0,,,BHJG,26,106,17,4.0,CNYTN,CN,"2025-05-10 01:10:00","2025-05-14 16:58:00",SG,SGSIN,NLRTM,NL,-1,238,"2025-05-21 03:51:00"
"Hong Kong","COSCO SHIPPING ALPS",ROTTERDAM,"2025-05-25 04:00:00","NL RTM",,9757864,Cargo,"2025-05-21 00:51:28",29.992033,-14.257007,16.8,14.1,SINGAPORE,22.299999,16.299999,Laden,10193,1640,"2025-05-25 06:09:00","CAI MEP",0.0,"Normal Speed Transiting",153679,477148700,"WAFR - West Africa","West Africa",ACTIVE,0,16,"Underway using Engine",2018,366.0,51.3,,,VRRJ2,18,43,20,0.0,VNCMT,VN,"2025-04-24 23:53:00","2025-04-27 16:20:00",SG,SGSIN,NLRTM,NL,0,18,"2025-05-21 02:38:00"
Panama,"EVER ARIA",ROTTERDAM,"2025-06-01 10:00:00","SGSIN > NLRTM",,9909132,Cargo,"2025-05-21 03:02:59",-15.159885,0.66885698,19.0,16.1,SINGAPORE,21.799999,18.5,Laden,7096,4716,"2025-05-31 18:03:00",YANTIAN,0.1,"Normal Speed Transiting",241815,352001747,"WAFR - West Africa","West Africa",ACTIVE,0,323,"Underway using Engine",2022,400.0,61.5,,,3E2585,21,122,23,0.0,CNYTN,CN,"2025-04-30 14:15:00","2025-05-05 05:27:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 03:35:00"
Japan,"ONE HONOLULU",ROTTERDAM,"2025-05-29 03:00:00","NL RTM",,9588079,Cargo,"2025-05-21 03:54:04",17.799088,-18.00433,13.3,12.6,SINGAPORE,21.799999,12.4,Laden,9415,2400,"2025-05-29 05:29:00",TOKYO,0.0,"Normal Speed Transiting",96980,431472000,"WAFR - West Africa","West Africa",ACTIVE,,3,"Underway using Engine",2012,334.5,45.6,,,7KRR,20,352,18,-1.0,JPTYO,JP,"2025-04-15 20:50:00","2025-04-26 00:54:00",SG,SGSIN,NLRTM,NL,,,"2025-05-21 03:54:00"
